DATETIME,RTC_TEMP_C,TEMP_C,PHOTO,BATTERY_LEVEL
2014-08-08 18:22:57,27.00,23.55,914,706
2014-08-08 18:23:02,27.00,23.20,962,706
2014-08-08 18:23:08,27.00,23.11,971,706
2014-08-08 18:23:13,27.00,23.11,928,706
2014-08-08 18:23:18,27.00,23.11,880,706
2014-08-08 18:23:24,27.00,23.08,854,706
2014-08-08 18:23:29,27.00,23.03,805,706
2014-08-08 18:23:34,27.00,23.03,752,706
2014-08-08 18:23:40,27.00,23.03,707,706
2014-08-08 18:23:45,27.00,23.03,667,706
2014-08-08 18:23:50,27.00,23.03,769,706
2014-08-08 18:23:56,27.00,23.03,628,706
2014-08-08 18:24:01,27.00,23.03,640,706
2014-08-08 18:24:06,26.75,23.03,644,706
2014-08-08 18:24:12,26.75,23.03,740,706
2014-08-08 18:24:17,26.75,22.99,716,706
2014-08-08 18:24:22,26.75,22.94,716,706
2014-08-08 18:24:28,26.75,22.94,712,706
2014-08-08 18:24:33,26.75,22.94,712,706
2014-08-08 18:24:38,26.75,22.94,712,706
2014-08-08 18:24:44,26.75,22.94,673,706
2014-08-08 18:24:49,26.75,22.94,513,706
2014-08-08 18:24:54,26.75,22.94,449,706
2014-08-08 18:25:00,26.75,22.94,433,706
2014-08-08 18:25:05,26.75,22.94,431,706
2014-08-08 18:25:10,26.25,22.94,448,706
2014-08-08 18:25:16,26.25,22.94,578,706
2014-08-08 18:25:21,26.25,22.94,635,706
2014-08-08 18:25:26,26.25,22.94,623,706
2014-08-08 18:25:32,26.25,22.94,663,706
2014-08-08 18:25:37,26.25,22.94,705,706
2014-08-08 18:25:42,26.25,22.94,770,706
2014-08-08 18:25:48,26.25,22.94,805,706
2014-08-08 18:25:53,26.25,22.94,850,706
2014-08-08 18:25:58,26.25,22.94,873,706
2014-08-08 18:26:04,26.25,22.94,972,706
2014-08-08 18:26:09,26.25,22.94,976,706
2014-08-08 18:26:14,25.75,23.20,975,706
2014-08-08 18:26:20,25.75,23.46,973,706
2014-08-08 18:26:25,25.75,23.72,974,706
2014-08-08 18:26:30,25.75,23.46,970,706
2014-08-08 18:26:36,25.75,23.11,932,706
2014-08-08 18:26:41,25.75,23.03,896,706
2014-08-08 18:26:47,25.75,23.03,875,706
2014-08-08 18:26:52,25.75,23.03,849,706
2014-08-08 18:26:57,25.75,23.03,875,706
2014-08-08 18:27:03,25.75,23.03,853,706
2014-08-08 18:27:08,25.75,23.03,836,706
2014-08-08 18:27:13,25.75,23.03,824,706
2014-08-08 18:27:19,26.00,23.03,808,706
2014-08-08 18:27:24,26.00,23.03,794,706
2014-08-08 18:27:29,26.00,23.03,782,706
2014-08-08 18:27:35,26.00,23.03,751,706
2014-08-08 18:27:40,26.00,23.03,737,706
2014-08-08 18:27:45,26.00,23.03,728,706
2014-08-08 18:27:51,26.00,23.03,722,706
2014-08-08 18:27:56,26.00,23.03,677,706
2014-08-08 18:28:01,26.00,23.03,600,706
2014-08-08 18:28:07,26.00,23.03,530,706
