DATE,TIME,TEMP_C
8/12/14,18:04,10
8/12/14,18:05,22.1
8/12/14,18:06,22.8
8/12/14,18:07,23.1
8/12/14,18:08,23.2
8/12/14,18:09,23.3
8/12/14,18:10,23.4
8/12/14,18:11,12
8/12/14,18:12,12.1
8/12/14,18:13,12.1
8/12/14,18:14,12.2
8/12/14,18:15,12.2
8/12/14,18:16,22.3
8/12/14,18:17,22.7
8/12/14,18:18,22.9
8/12/14,18:19,23
8/12/14,18:20,23.1
8/12/14,18:21,13.8
8/12/14,18:22,13.7
8/12/14,18:23,13.8
8/12/14,18:24,13.8
8/12/14,18:25,13.9
