DATE,TIME,TEMP_C
8/12/2014,17:11,8.9
8/12/2014,17:13,25
8/12/2014,17:14,24.9
8/12/2014,17:15,5.7
8/12/2014,17:17,5.3
8/12/2014,17:18,23.2
8/12/2014,17:19,23.8
