2014-8-7 22:6:14.953,0,0,0.0000,0.0000,0.29,0.00,0.00,9
2014-8-7 22:6:17.984,1,1,4355.3046,6957.6503,0.15,0.00,11.30,10
2014-8-7 22:6:20.953,1,1,4355.3027,6957.6518,1.01,348.05,3.30,10
2014-8-7 22:6:24.0,1,1,4355.3022,6957.6528,0.34,346.16,2.70,9
2014-8-7 22:6:27.0,1,1,4355.3017,6957.6518,0.16,346.16,2.90,11
2014-8-7 22:6:30.0,1,1,4355.3017,6957.6518,0.12,346.16,2.90,11
2014-8-7 22:6:32.984,1,1,4355.3017,6957.6518,0.08,346.16,2.30,11
2014-8-7 22:6:36.0,1,1,4355.3012,6957.6518,0.12,346.16,2.00,11
2014-8-7 22:6:39.0,1,1,4355.3012,6957.6528,0.12,346.16,1.60,11
2014-8-7 22:6:42.0,1,1,4355.3012,6957.6528,0.18,346.16,1.70,11
2014-8-7 22:6:44.984,1,1,4355.3012,6957.6542,0.31,346.16,2.30,11
2014-8-7 22:6:48.0,1,1,4355.3012,6957.6557,0.42,346.16,2.50,10
2014-8-7 22:6:51.0,1,1,4355.3012,6957.6557,0.41,346.16,2.50,10
2014-8-7 22:6:54.0,1,1,4355.3017,6957.6567,0.32,346.16,2.40,11
2014-8-7 22:6:56.984,1,1,4355.3017,6957.6557,0.10,346.16,2.40,11
2014-8-7 22:7:0.0,1,1,4355.3017,6957.6557,0.07,346.16,2.40,11
2014-8-7 22:7:3.0,1,1,4355.3017,6957.6557,0.14,346.16,2.40,11
2014-8-7 22:7:6.0,1,1,4355.3022,6957.6557,0.20,346.16,2.40,11
2014-8-7 22:7:8.984,1,1,4355.3022,6957.6557,0.08,346.16,2.40,11
2014-8-7 22:7:12.0,1,1,4355.3017,6957.6557,0.12,346.16,2.40,11
2014-8-7 22:7:15.0,1,1,4355.3017,6957.6557,0.37,346.16,2.40,11
2014-8-7 22:7:18.0,1,1,4355.3017,6957.6547,0.21,346.16,2.40,10
2014-8-7 22:7:20.984,1,1,4355.3017,6957.6547,0.23,346.16,2.30,10
2014-8-7 22:7:24.0,1,1,4355.3017,6957.6547,0.21,346.16,2.30,10
2014-8-7 22:7:27.0,1,1,4355.3017,6957.6542,0.40,346.16,2.30,11
2014-8-7 22:7:30.0,1,1,4355.3022,6957.6542,0.34,346.16,2.30,11
2014-8-7 22:7:32.984,1,1,4355.3022,6957.6542,0.14,346.16,2.30,10
2014-8-7 22:7:36.0,1,1,4355.3022,6957.6542,0.18,346.16,2.30,11
2014-8-7 22:7:39.0,1,1,4355.3027,6957.6533,0.14,346.16,2.30,10
2014-8-7 22:7:42.0,1,1,4355.3027,6957.6542,0.16,346.16,2.20,10
2014-8-7 22:7:44.984,1,1,4355.3027,6957.6542,0.26,346.16,2.20,10
2014-8-7 22:7:48.0,1,1,4355.3027,6957.6542,0.09,346.16,2.30,10
2014-8-7 22:7:51.0,1,1,4355.3027,6957.6542,0.14,336.98,2.30,10
2014-8-7 22:7:54.0,1,1,4355.3027,6957.6542,0.50,336.98,2.10,11
2014-8-7 22:7:56.984,1,1,4355.3022,6957.6542,0.07,336.98,2.00,10
2014-8-7 22:8:0.0,1,1,4355.3022,6957.6542,0.02,336.98,1.90,10
2014-8-7 22:8:3.0,1,1,4355.3022,6957.6542,0.25,336.98,1.80,11
2014-8-7 22:8:6.0,1,1,4355.3022,6957.6542,0.15,336.98,1.80,11
2014-8-7 22:8:8.984,1,1,4355.3022,6957.6542,0.33,336.98,1.80,10
2014-8-7 22:8:12.0,1,1,4355.3022,6957.6542,0.06,336.98,1.60,11
2014-8-7 22:8:15.0,1,1,4355.3017,6957.6542,0.04,336.98,1.50,11
2014-8-7 22:8:18.0,1,1,4355.3017,6957.6542,0.02,336.98,1.40,10
2014-8-7 22:8:20.984,1,1,4355.3022,6957.6542,0.32,336.98,1.50,10
2014-8-7 22:8:24.0,1,1,4355.3017,6957.6542,0.56,336.98,1.50,10
2014-8-7 22:8:27.0,1,1,4355.3012,6957.6542,0.62,196.09,1.30,11
2014-8-7 22:8:30.0,1,1,4355.3012,6957.6542,0.05,196.09,1.00,11
2014-8-7 22:8:32.984,1,1,4355.3012,6957.6542,0.06,196.09,1.00,11
2014-8-7 22:8:36.0,1,1,4355.3012,6957.6542,0.15,196.09,0.90,11
2014-8-7 22:8:39.0,1,1,4355.3012,6957.6542,0.07,196.09,0.90,11
2014-8-7 22:8:42.0,1,1,4355.3012,6957.6542,0.24,196.09,0.90,11
2014-8-7 22:8:44.984,1,1,4355.3012,6957.6542,0.10,196.09,0.80,10
2014-8-7 22:8:48.0,1,1,4355.3012,6957.6542,0.22,196.09,0.70,11
2014-8-7 22:8:51.0,1,1,4355.3012,6957.6542,0.23,196.09,0.60,11
2014-8-7 22:8:54.0,1,1,4355.3012,6957.6547,0.17,196.09,0.50,10
2014-8-7 22:8:56.984,1,1,4355.3012,6957.6547,0.11,196.09,0.50,10
2014-8-7 22:9:0.0,1,1,4355.3012,6957.6542,0.13,196.09,0.40,10
2014-8-7 22:9:3.0,1,1,4355.3012,6957.6542,0.12,196.09,0.30,10
2014-8-7 22:9:6.0,1,1,4355.3012,6957.6542,0.11,196.09,0.20,11
2014-8-7 22:9:8.984,1,1,4355.3012,6957.6547,0.09,196.09,0.20,11
2014-8-7 22:9:12.0,1,1,4355.3012,6957.6547,0.27,196.09,0.30,11
2014-8-7 22:9:15.0,1,1,4355.3012,6957.6547,0.23,196.09,0.30,11
2014-8-7 22:9:18.0,1,1,4355.3012,6957.6547,0.05,196.09,0.30,11
